AccNumber,Title,ClassNo ,AuthorEditort,AuthorEditor,Discription,ISBNNumber,Keywords1,Keywords2,Publisher,YearofPublication,PlaceofPublisher ,Status
1,WHO'S WHO - 1982,REF 920.009,,,"vii,279p:ills.25.5cm",,,,Adm and Charles Black,1982,London,Available
2,PHYSICS AND BEYOND,537.70924,"HEISENBERG, W.",  ,"vii,279p:ills.25.5cm",49250205,Nuclear Physics,,"HARPER and RAW,INC",1971,GREAT BRITAIN,Available
3,COSMIC X-RAY ASTRONOMY,522.6,"ADAMS, D.J.",,"x,150p:ills.25cm",, X-ray astronomy. ,X-RAY ASTRONOMY,ADAM HILGER LTD. ,1980,BRISTOL,Available
4,LIFE SCIENCES IN THE 20th CENTURY,574.0904,"ALLEN, G.",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
5,ASTROPHYSICAL QUANTITIES,523.01,"ALLEN, C.W.",,"x, 310 p. : graphs ; 24 cm.",485111500,Astrophysics,,University of London,1976,NewJersey,Available
6,EVOLUTION AND SPECIATION,575,"ATCHLEY  , W.D.; WOODRUFF, D.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,,,Available
8,FRONTIERS OF ASTROPHYSICS,523.01,,"AVRETT , E.H.",554p:ills.23.5cm,,CELESTIAL BODIES,ASTROPHYSICS,Harvard University Press,1976,England,Available
9,MOLECUALR EVOLUTION ,575,,"AYALA, F.J.","vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,,,Available
10,PROBLEMS OF GENETICS,575,"BATESON, W.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
11,THE ART OF SCIENTIFIC INVESTIGATION,507.2,BEVERIDGEiW.I.B.,,"vii,279p:ills.25.5cm",4355400661,Research.,,Heinemann,1979,London,Available
13,INTRODUCTION TO COMETS,523.6,"BRANDT, J.C.; Chapman, D.R.",,"viii,246p:ills.24cm",521239060,Comets.,,Cambridge University,1981,London,Available
15,MOLECUALR AND CELLULAR ASPECTS OF MICROBIAL EVOLUTION,576.8,,"CARLILE, M.J.","vii,279p:ills.25.5cm",,MICROBIOLOGY,,,                            ,                               ,Available
16,RADIATIVE TRANSFER,523.01,"CHANDRASEKHAR, S",,"vii,279p:ills.25.5cm",,,RADIATION,Dover Publication ,1960,New york,Available
17,AN INTRODUCTION TO THE STUDY OF STELLAR STRUCTURE ,523,"CHANDRASEKHAR, S.",,509p:ills.20cm,,Astrophysics.,,Dover Publications,1967,NewYork,Available
18,CHAMBERS DICTIONARY OF SCIENCE AND TECHNOLOGY,REF 503,,S>CALLOCOT I>T.C.    S>DOBSON I>A.B.,"vii,279p:ills.25.5cm",,DICTIONARIES AND ENCYLOPEDIAS,,,                            ,                               ,Available
19,THE EVOLUTION OF MAN AND SOCIETY,301,"DARUNGTON, C.D.",,7539p:ills.23cm,,SOCIALOGY,EVOLUTION,George Allen Unwin LTD,1968,London,Available
20,ON THE ORIGIN OF SPECIES,575.4,"DARWIN, C.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
21,THE ORIGIN OF SPECIES ,575.4,"DARWIN, C.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
22,THE  VOYAGE  OF CHARLES DARWIN,575.4,"RALLING, C.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
23,THE VOYAGE OF THE BEAGLE,575.4,"DARWIN, C.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
25,EVOLUTION ,575,"DOBZHANSKY  , T.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
26,DARWIN AND THE MYSTERIOUS MR. X,575,"EISELY, L.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
27,AGAINST METHOD,167,"FEYERABEND, P.",,339p:20cm,,HYPOTHESES,METHODS,VERO,1975,LONDON,Available
28,THE GENERAL THEORY OF NATURAL SELECTION ,575.4,"FISHER, R.A.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
30,LIFE : ORIGIN AND EVOLUTION,575,,,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
31,THE WORKS OF CHARLES DARWIN:AN ANNOTATED BIBLIOGRAPHICAL HANDLIST,16.575,"FREEMAN, R.B.",,235p:ills.23cm,,BIBLIOGRAPHIES,CHARLES DARVIN,WmDawson,1977,England,Available
32,CHARLES DARWIN :  A COMPANION,575.009 2,"FREEMAN, R.B.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
33,DIALOGUE CONCERNING TWO NEW SCIENCES,531,"GALILEI, G",,"xiii,300p:ills.20cm",,Mechanics.,Physics--Early works to 1800,Dover Publications,1954,NewYork,Available
34,"Dialogue concerning the two chief world systems ,Ptolemaic and Copernican / Galileo Galilei ; translated and with revised notes by Stillman Drake ; foreword by Albert Einstein ; introduction by J.L. Heilbron.",520 21,"Galilel, G",,"xxvii,491p:ills.20cm",,Astronomy--Early works to 1800.,Solar system; Solar system--Early works to 1800,University of California Press,1967,London,Available
35,THE SEARCH FOR LIFE IN THE UNIVERSE,574.999,"GOLDSMITH, D.; OWEN, T.",,"xi,434p:ills.23.5cm",805333258,Life on other planets.,Astronomy.,The Benjamin ,1980,London,Available
36,"TABLE OF INTEGRALS, SERIES AND PRODUCTS",510.2,"GRADSHTEYN , I.S.; RYZHIK, I.M.",,"xlv,1160p:23.5cm",,MATHEMATICS,INTEGRALS,ACADEMIC PRESS,1980,NEW YORK,Available
37,BIOCHEMICAL EVOLUTION,575,,S>GUTFREUND I>H.,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
38,ON STONEHENGE,523.3,"HOYLE, F.",,"v,128p:ills.22.5cm",0435329588 :,Eclipses.,Stonehenge; Astronomical instruments.,Heinemann,1977,London,Available
39,ON STONEHENGE,523.3,"HOYLE, F.",,"v,128p:ills.22.5cm",0435329588 :,Eclipses.,Stonehenge; Astronomical instruments.,Heinemann,1977,London,Available
40,ENCYCLOPAEDIA DICTIONARY OF MATHEMATICS VOL. I,R 510.3,"IYANAGA I. KAWADA, Y.",,"vii,279p:ills.25.5cm",262090163,MATHEMATICS-DICTIONARIES,,MIT PRESS,1980,ENGLAND,Available
41,ENCYCLOPAEDIA DICTIONARY OF MATHEMATICS VOL. II,REF 510.3,"IYANAGA I. KAWADA, Y.",,"vii,279p:ills.25.5cm",262090163,MATHEMATICS- DICTIONARIES,,MIT PRESS,1980,ENGLAND,Available
42,TABLES OF PHYSICAL AND CHEMICAL CONSTANTS AND SOME MATHEMATICAL FUNCTIONS,530.83,"KAYE, G.W.C. LABY, T.H.",,"xi,386p:ills.25cm",,Physics--Tables.,Chemistry--Tables.; ATOMIC AND NUCLEAR PHYSICS; MATHEMATICS,LONGMAN,1973,NEW YORK,Available
43,MATHEMATICAL COSMOLOGY AN INTRODUCTION,523.1,"LANDSBERG, P.T.; EVAMS, D.A.",," x, 309 p. : ill. ; 24 cm. ",,Cosmology--Mathematics.,,CLARENDON PRESS,1977,OXFORD,Available
44,"A SOURCE BOOK IN ASTRONOMY AND ASTROPHYSICS, 1900-1975 ",520.8,,"LANG, K.R.; Gingerich, O.","xx,922p:ills.28.5cm",674822005,Astronomy,ASTROPHYSICS,Harvard University Press,1979,London,Available
45,COSMIC DUST -  IT'S IMPACT ON ASTRONOMY,523.2,"MARTIN, P.G.",,"xiv, 266 p. : ill. ; 24 cm.",198514581,Cosmic dust.,,Oxford,1978,New York,Available
46,"POPULATIONS, SPECIES AND EVOLUTION ",575,"MAYR, E.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
47,EVOLUTION AND THE DIVERSITY OF LIFE,575,"MAYR, E.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
48,GRAVITATION ,531.14,"MISNER, C.W. THORNE, K.S.; WHEELER, J.A.",,"vii,279p:ills.25.5cm",,CLASSICAL MECHANICS SOLID MECHANICS,<GRAVITATION>,,,,Available
51,NORTON'S STAR ATLAS AND REFERENCE HANDBOOK,523,"NORTON, A.P.",,"viii,166p:ills.28.5cm",852489005,Astronomy--Observers' manuals.,,Gall and Inglis Ltd.,1978,Scotland,Available
52,THE DEVELOPMENT OF DARWINS THEORY,575.4,"OSPORAT, D.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
55,THE SELF AND IT'S BRAIN,130,"ECCLES, J.; POPPER, K.",,"xvi,597p:ills.23.5cm",,PARANORMAL PHENOMENA,BRAIN; SELF; MIND AND BODY,SpringerInternational              ,1981,NewYork,Available
56,CONJECTURES AND REFUTATIONS,167.7,"POPPER, K.R.",,431p:23.5cm,,HYPOTHES,CONJECTURES,ROUTLEDGE AND KEGAN PALL,1972,LONDON,Available
57,OBJECTIVE KNOWLEDGE :AN EVOLUTIONARY APPROACH,165,"POPPER, K.R.",,"vii,395p:21.5cm",,HYPOTHESES,CONJECTRAL  KNOWLEDGE ,OXFORD,1979,NEWYORK,Available
58,COSMOLOGY ,523.1,"ROBINSON, M.R.",,"xii,152p:ills.21.5cm",,COSMOLOGY,,CLARENDON PRESS,1981,OXFORD,Available
59,STRUCTURE AND EVOLUTION OF THE STARS,523.8,"SCHWARZCHILD, M.",,"xiii,296p:ills.23.5cm",486614794,Stars--Evolution, Stars--Structure. ,"DoverPublications,Inc.",1958,NewYork,Available
60,New frontiers in astronomy : readings from Scientific American,520.8,"Gingerich, O.",,369p:ills.28.5cm,716705192,ASTRONOMY ,PLANETARY SYSTEM; COSMOLOGY; GALAXIES,W.H.Freeman and company  ,1975,USA,Available
61,EVOLUTION ,575,,,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
62,CONDITIONS FOR LIFE,577,,,"vii,279p:ills.25.5cm",,GENERAL NATURE OF LIFE,,,                            ,                               ,Available
63,WHITE DWARFS - BLACK HOLES : AN INTRODUCTION TO RELATIVISTIC ASTROPHYSICS,523.01,"SEXL, R.; SEXL, H.",,"viii,203p:ills.23.5cm",,Astrophysics,BLACK HOLES; STARS; PLANETS; PULSARS,Academic Press,1975,NewYork,Available
64,THE BIG BANG : THE CREATION AND EVOLUTION OF THE UNIVERSE,523.18,"Silk, J",,"xv,394p:ills.22cm",,COSMOLOGY,,W.H.Freeman and Company,1980,USA,Available
65,THE STARS : THEIR STRUCTURE AND EVOLUTION,523.82,"TAYLOR, R.J.",,"xi,205p:ills.21.5cm",851091105,Stars--Structure, Stars--Evolution. ,Taylor and Francis Ltd.,1981,London,Available
66,GALAXIES : STRUCTURE AND EVOLUTION,523.854,"TAYLER, R.J.",,"xi,203p:ills.21.5cm",851096700,Galaxies. ,Galaxies--Evolution,Wykeham Publication,1978,London,Available
67,MOLECUALR BIOLOGY OF THE GENE,574.88,"WATSON, J.D.",,"vii,279p:ills.25.5cm",,MOLECULAR BIOLOGY,,,                            ,                               ,Available
68,THE DANCING WULI MASTERS : AN OVERVIEW OF THE NEW PHYSICS,530.12 21,"ZUKAV, G.",,352p:ills.23cm,91394015,Quantum theory--History.,Relativity (Physics)--History.,Rider ,1979,London,Available
69,THE RESTLESS UNIVERSE,530.1,"BORN, M.",,"vii,279p:ills.25.5cm",048620412X,Matter--Constitution,Physics,USA,1951,"Dover Publications, Inc",Available
70,The comet is coming : the feverish legacy of Mr. Halley ,523.6,"CALDER, N.",,160p:ills.23.5cm,563178590,"Halley, Edmond, 1656-1742",Comets;  Halley's comet. ,British Broadscasting Corporation ,1980,London,Available
71,CELESTIAL MASERS ,523,"COOK, A.H.",,"viii,135p:ills.23.5cm",521213444,Astronomical masers,CELESTIAL; MASERS,Cambridge University Press,1977,London,Available
72,GENETICS OF THE EVOLUTIONARY PROCESS,575,"DOBZHANSKY, J.",,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
73,PHYSICS OF THE INTERSTELLAR MEDIUM,523.112,"DYSON, J.E.; WilliamsD.A.",,"xii, 194 p. : ill. ; 24 cm.",470269839,Interstellar matter.,,Manchester University Press,1980,London,Available
74,NATURAL LAW AND THE STRUCTURE OF MATTER,165.9,"HEISENBERG, W.",,"vii,279p:ills.25.5cm",,LOGIC,NATURAL LOW,,                            ,                               ,Available
76,HUMAN ANCESTORS,575,,,"vii,279p:ills.25.5cm",,EVOLUTION AND GENETICS,,,                            ,                               ,Available
77,COSMIC DUST,523.2,,"McDONNELL, J.A.M.","xx,693p:ills.23.5cm",,Cosmic dust.,,JohnWily,1978,NewYork,Available
79,THE PHYSICS OF STERIORS AN INTRODUCTION ,523.8,"REDDISH, V.C.",,"vii,107p:ills.22cm",852242700,Stars--Structure,,Edinburgh University press,1974,Edinburgh,Available
80,COSMOLOGY + 1 : WITH AN INTRODUCTION BY OWEN GINGERICH ,523.108,,,"vii,113p:ills.28.5cm",716700425,Cosmology -Addresses,,W.H.Freeman and Company,1977,USA,Available
81,"Atoms, stars, and nebulae ",523.01,"ALLER, L.H.",,"viii, 351 p. illus. 25 cm. ",,Astrophysics.,,Harvard University Press,1971,Cambridge,Available
82,ELEMENTARY BIOCHEMISTRY : AN INTRODUCTION TO THE CHEMISTRY OF LIVING CELLS,574.192,"DAVIES, J. LITTLEWOOD, B.S.",,"vii,279p:ills.25.5cm",,GENERAL NATURE OF LIFE,,,                            ,                               ,Available
83,BIOCHEMISTRY,574.192,"LEHNINGER, A.L.",,"vii,279p:ills.25.5cm",,BIOLOGY,,,                            ,                               ,Available
85,PHYSICAL BODIES : PHYSICS FOR EVERYONE,530 19,"LANDAU , L.D; KITAIGORODSKY, A.I.",,247p:ills.17cm,,Physics--Popular works.,,Mir Publications,1980,,Available
86,MOLECULES (PHYSICS FOR EVERYONE) BOOK 2,539,"KITAIGORODSKY , A.I.; LANDAU, L.D.",,"vii,279p:ills.25.5cm",,MODERN PHYSICS,MOLECULES,Mir Publishers,1981,Moscow,Available
87,ELECTRONS - (PHYSICS FOR EVERYONE) - BOOK 3,539,"KITAIGORODSKY, A.I.",,"vii,279p:ills.25.5cm",,MODERN PHYSICS,ELECTRONS,Mir Publishers,1981,Moscow,Available
88,PHOTONS AND NUCLEI (PHYSICS FOR EVERYONE) BOOK 1 ,539,"KITAIGORODSKY, A.I.",,"vii,279p:ills.25.5cm",,MODERN PHYSICS,PHOTONS AND NUCLE,Mir Publishers,1981,Moscow,Available
89,SYMMETRY IN THE WORLD OF MOLECULES,541.2219,"DMITRIEV, I.S.",,"vii,279p:ills.25.5cm",,Molecular theory.,Symmetry (Physics),Mir Publishers,1979,Moscow,Available
92,GENERAL CHEMISTRY - VOLUME 1,540.19,"GLINKA, N.L.",,"vii,279p:ills.25.5cm",,PHYSICAL AND  THEORITICAL CHEMISTRY,Matter and Its Motion,Mir Publishers,1981,Russia,Available
93,GENERAL CHEMISTRY - VOLUME 2,540.19,"GLINKA, N.L.",,"vii,279p:ills.25.5cm",,PHYSICAL AND  THEORITICAL CHEMISTRY,Occurrence and Preparation,Mir Publishers,1981,Russia,Available
